Número de sociedades y capital (en miles de euros);Comunidades y Ciudades Autónomas;Forma jurídica;Periodo;Total
Número de Sociedades;Total Nacional;Total;2014M09;6.627
Número de Sociedades;Total Nacional;Total;2014M10;7.980
Número de Sociedades;Total Nacional;Total;2014M11;7.352
Número de Sociedades;Total Nacional;Total;2014M12;7.490
Número de Sociedades;Total Nacional;Total;2015M01;8.233
Número de Sociedades;Total Nacional;Total;2015M02;8.713
Número de Sociedades;Total Nacional;Total;2015M03;9.916
Número de Sociedades;Total Nacional;Total;2015M04;8.284
Número de Sociedades;Total Nacional;Total;2015M05;8.064
Número de Sociedades;Total Nacional;Total;2015M06;8.254
Número de Sociedades;Total Nacional;Total;2015M07;8.069
Número de Sociedades;Total Nacional;Total;2015M08;5.187
Número de Sociedades;Total Nacional;Total;2015M09;6.445
Número de Sociedades;Total Nacional;Total;2015M10;7.444
Número de Sociedades;Total Nacional;Total;2015M11;7.952
Número de Sociedades;Total Nacional;Total;2015M12;8.083
Número de Sociedades;Total Nacional;Total;2016M01;9.441
Número de Sociedades;Total Nacional;Total;2016M02;10.396
Número de Sociedades;Total Nacional;Total;2016M03;9.833
Número de Sociedades;Total Nacional;Total;2016M04;9.509
Número de Sociedades;Total Nacional;Total;2016M05;8.811
Número de Sociedades;Total Nacional;Total;2016M06;9.296
Número de Sociedades;Total Nacional;Total;2016M07;8.207
Número de Sociedades;Total Nacional;Total;2016M08;6.405
Número de Sociedades;Total Nacional;Total;2016M09;6.775
Número de Sociedades;Total Nacional;Total;2016M10;7.128
Número de Sociedades;Total Nacional;Total;2016M11;7.889
Número de Sociedades;Total Nacional;Total;2016M12;7.357
Número de Sociedades;Total Nacional;Total;2017M01;8.889
Número de Sociedades;Total Nacional;Total;2017M02;8.844
Número de Sociedades;Total Nacional;Total;2017M03;10.545
Número de Sociedades;Total Nacional;Total;2017M04;7.788
Número de Sociedades;Total Nacional;Total;2017M05;8.786
Número de Sociedades;Total Nacional;Total;2017M06;8.329
Número de Sociedades;Total Nacional;Total;2017M07;7.435
Número de Sociedades;Total Nacional;Total;2017M08;5.910
Número de Sociedades;Total Nacional;Total;2017M09;6.157
Número de Sociedades;Total Nacional;Total;2017M10;7.236
Número de Sociedades;Total Nacional;Total;2017M11;7.716
Número de Sociedades;Total Nacional;Total;2017M12;6.735
Número de Sociedades;Total Nacional;Total;2018M01;9.403
