
. tab ciclo ocup1 if state=="P"|state=="T" [fweight=facexp]

           |                               ocup1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       189 |  15178117  172758755  136795234  244790410 |1684613900 
       190 |  15025951  171012951  133907520  240882989 |1656012589 
       191 |  15284681  160131135  125535234  213927245 |1552684926 
       192 |  15181574  169605328  127294623  223163750 |1610804861 
       193 |  16313036  171301265  130845439  226742184 |1624152006 
       194 |  16396607  162274307  130196253  224665755 |1610425445 
       195 |  16949490  166507053  132855981  233253089 |1650740974 
       196 |  19446772  166368101  136765011  238635687 |1691655067 
       197 |  16611220  165198549  137032253  244542129 |1697424089 
       198 |  15617573  164853773  138197377  244829855 |1692849085 
       199 |  18158756  166937963  142835208  242562598 |1730392752 
       200 |  18587155  170026624  145117093  234245226 |1740320316 
       201 |  18035217  170328455  146141613  239456773 |1737150945 
-----------+--------------------------------------------+----------
     Total |1186985374  1.354e+10 9655281661  1.759e+10 | 1.137e+11 

. log close
